masked ids,mother_income_cat,household_income_cat,accommodation_cat,Child_ethnicity_merged,mother_highest_education_cat,child.s_sex_binary,mother_age_recruitment
S00160,NA,NA,6,1,3,0,33.89
S00079,2,3,3,2,4,1,23.61
S00238,1,3,3,1,2,1,38.22
S00389,1,2,2,1,3,0,30.9
S00030,2,2,1,1,3,1,38.96
S00124,1,5,4,1,5,0,31.73
S00317,3,3,3,3,4,1,30.62
S00231,2,3,1,2,3,1,22.96
S00186,2,4,3,2,4,1,25.83
S00327,2,3,3,1,6,0,37.86
S00140,2,3,4,2,3,1,30.59
S00331,2,3,3,2,5,1,31.67
S00256,2,2,1,2,4,0,23.41
S00132,1,2,3,2,3,1,34.86
S00058,1,4,3,3,6,0,24.84
S00066,4,5,3,1,6,1,27.69
S00386,1,2,3,2,4,0,22.1
S00336,3,4,3,1,5,0,40.6
S00392,1,4,3,1,6,0,29.85
S00281,1,3,2,1,3,0,32.77
S00042,NA,3,3,3,3,0,24.84
S00083,1,1,1,2,3,0,20.49
S00023,3,4,3,1,3,1,32.15
S00187,3,4,3,2,5,0,24.8
S00155,1,5,3,1,5,0,33.96
S00174,NA,4,3,1,5,0,44.04
S00029,1,3,3,1,6,1,39.24
S00193,3,4,3,1,6,1,30.88
S00284,2,3,1,1,3,1,23.24
S00337,1,3,3,2,3,0,20.71
S00204,1,4,3,1,3,1,37.23
S00159,3,3,4,2,4,1,34.28
S00368,1,3,6,1,3,0,26.86
S00232,3,4,3,1,5,1,27.04
S00118,2,3,3,2,5,0,24.43
S00039,2,4,3,2,3,0,24.31
S00200,2,3,3,1,4,1,39.31
S00183,NA,4,3,1,5,1,36.46
S00307,1,1,2,1,3,1,24.72
S00094,3,4,2,1,3,1,25.62
S00143,2,3,3,1,3,0,34.92
S00363,4,5,6,1,6,1,28.43
S00024,1,4,3,1,5,1,33.38
S00239,1,2,3,2,3,1,21.43
S00411,2,3,3,2,3,0,28.47
S00312,1,3,1,1,4,0,23.52
S00026,2,4,3,1,5,1,27.24
S00362,2,5,6,1,2,1,28.03
S00188,1,2,2,1,6,1,33.28
S00367,NA,NA,NA,2,0,1,32.53
S00341,1,2,1,2,3,0,28.27
S00339,2,3,2,2,5,0,26.09
S00161,1,3,3,2,3,1,23.1
S00252,1,4,3,1,6,0,38.02
S00348,3,5,2,3,6,1,29.84
S00294,3,5,3,1,6,0,24.57
S00031,3,4,3,1,5,0,32.93
S00405,NA,3,2,3,2,0,33.39
S00156,1,4,3,1,6,1,29.97
S00102,3,4,6,1,5,0,28.24
S00323,2,3,3,2,4,1,23.52
S00374,3,5,3,2,5,0,28.64
S00191,1,3,2,1,3,1,25.86
S00243,1,3,2,1,3,0,39.37
S00084,1,2,3,1,3,0,29.63
S00371,1,2,3,2,5,0,33
S00190,1,2,3,1,3,0,36.71
S00049,1,3,3,1,3,1,24.37
S00149,1,2,2,2,2,1,35.23
S00249,1,2,2,3,2,1,32.76
S00104,3,5,3,1,5,1,33.95
S00077,2,3,3,1,5,1,26.09
S00137,2,3,2,2,4,1,26.75
S00353,4,5,3,1,5,1,43.15
S00408,1,3,3,2,3,1,46.38
S00402,1,4,2,1,5,1,35.95
S00167,1,2,2,3,2,0,24.22
S00319,1,2,2,2,3,0,25.51
S00090,3,4,3,1,6,0,31.74
S00086,1,3,3,1,5,1,22.75
S00297,4,NA,3,1,5,0,39.98
S00027,1,3,3,1,4,1,32.81
S00135,3,5,4,1,6,0,36.33
S00015,1,5,3,3,6,1,34.33
S00309,1,2,3,1,4,1,33.37
S00332,2,4,3,1,5,1,32.3
S00349,1,2,3,3,6,0,29.94
S00111,2,3,3,3,3,1,30.18
S00321,3,NA,3,1,5,0,33.46
S00070,4,5,3,1,6,1,38.27
S00044,1,3,3,2,3,1,34.61
S00002,2,3,4,1,3,1,40.93
S00016,1,3,7,2,3,0,28.42
S00142,1,5,3,1,6,1,38.92
S00291,1,3,3,2,3,0,30.58
S00311,1,2,3,2,4,1,32.56
S00209,1,2,2,1,3,0,19.62
S00001,2,4,3,3,4,1,25.74
S00406,1,3,2,1,2,0,33.97
S00409,2,4,6,1,3,0,32.53
S00212,2,3,3,2,4,1,27.41
S00320,2,4,3,1,3,1,33.8
S00236,3,5,3,1,5,0,30.69
S00328,1,2,2,2,2,0,24.8
S00383,1,4,3,1,5,1,34.52
S00375,3,4,3,2,5,1,26.05
S00163,1,1,2,1,3,0,20.03
S00350,2,3,3,3,3,1,21.52
S00378,NA,3,3,1,6,0,29.79
S00248,2,4,3,3,6,0,32.19
S00399,1,3,3,1,3,0,24.62
S00224,3,5,3,1,5,0,32.33
S00138,1,2,2,2,2,1,20.35
S00316,3,4,4,1,6,0,29.89
S00403,2,4,3,1,4,0,38.28
S00009,1,2,3,2,4,1,25.46
S00198,1,2,3,1,3,0,33.1
S00063,1,3,3,1,3,0,27.76
S00400,2,3,3,2,5,0,29.33
S00395,1,NA,2,1,6,1,33.05
S00286,1,3,3,2,3,1,36.86
S00203,NA,NA,2,1,3,0,36.41
S00272,1,NA,1,3,6,0,31.75
S00354,2,4,3,1,4,0,35.33
S00262,3,5,5,1,6,1,39.35
S00398,3,5,3,1,6,0,33.49
S00100,2,3,2,2,4,0,29.19
S00052,1,4,3,3,6,1,35.65
S00346,1,2,2,2,3,0,30.82
S00179,1,3,1,1,3,0,33.07
S00394,3,4,3,2,5,0,24.44
S00080,1,3,3,1,2,1,24.4
S00110,2,3,2,2,3,1,44
S00074,2,4,3,1,5,0,23.99
S00233,2,3,3,1,2,0,26.02
S00176,1,3,2,NA,NA,1,22.76
S00032,1,2,1,2,3,0,35.58
S00121,2,3,2,2,4,1,23.36
S00170,4,5,3,1,6,1,39.54
S00106,4,5,3,1,6,0,37.4
S00206,2,3,3,2,2,1,34.51
S00351,1,2,3,2,3,1,23.01
S00220,1,3,2,3,6,1,35.61
S00014,2,3,3,1,5,1,35.82
S00384,2,2,4,1,5,0,26.94
S00171,4,5,3,1,6,0,33.3
S00306,3,NA,3,1,6,1,38.84
S00344,3,5,3,1,6,1,31.53
S00356,NA,1,3,1,2,1,27.35
S00033,1,3,2,1,3,1,27.71
S00293,3,5,4,2,5,1,30.81
S00266,4,5,4,1,6,1,31.06
S00260,3,4,3,1,5,1,29.01
S00324,2,4,2,1,6,0,37.29
S00021,3,3,3,2,4,0,26.64
S00117,2,3,3,2,3,1,41.21
S00041,2,3,3,2,3,1,31.92
S00313,1,2,1,1,5,1,27.13
S00157,3,5,3,1,6,0,28.38
S00296,3,4,3,2,5,1,27.96
S00078,2,4,3,3,6,0,37.19
S00234,NA,5,3,3,6,1,34.33
S00197,3,5,3,1,5,0,32.52
S00113,3,4,3,1,6,0,30.48
S00271,1,3,2,1,6,0,31.79
S00329,1,3,3,1,6,0,25.45
S00255,1,2,4,3,5,1,30.09
S00382,1,1,3,1,5,0,35.62
S00207,1,3,3,3,5,0,38.06
S00242,1,2,3,2,2,0,35.54
S00388,1,4,3,1,5,0,36.17
S00361,2,5,2,3,6,0,31.99
S00343,3,4,3,2,4,1,30.24
S00245,1,2,2,1,5,1,33.92
S00342,2,4,4,1,6,0,30.18
S00165,2,5,2,3,6,1,29.31
S00413,3,5,3,1,6,0,29.27
S00089,2,3,3,2,4,0,20.47
S00072,4,5,3,1,6,0,35.2
S00068,2,4,3,2,3,1,29.6
S00414,1,3,2,2,5,1,30.61
S00385,1,2,1,1,5,1,24.84
S00093,2,3,3,2,3,1,28.65
S00105,3,3,3,1,6,1,28.97
S00228,4,5,3,1,6,0,30.42
S00196,3,4,2,1,5,0,27.57
S00201,1,1,2,3,3,0,18.43
S00091,1,NA,1,1,3,1,28.14
S00208,4,5,3,1,6,0,25.69
S00184,3,5,3,1,6,0,26.5
S00270,1,3,3,1,4,1,28.31
S00229,1,NA,3,1,3,1,20.29
S00126,1,5,6,1,6,1,37.86
S00185,3,3,4,1,3,0,32.61
S00050,5,5,3,1,5,1,31.27
S00240,3,4,3,2,5,1,31.21
S00268,1,4,3,3,6,0,34.76
S00301,1,3,2,1,6,0,32.69
S00387,1,3,2,1,3,0,31.44
S00173,2,3,3,3,3,0,36.18
S00166,2,3,3,2,4,1,25.13
S00265,2,3,2,3,6,1,27.59
S00292,2,3,3,2,5,1,27.12
S00290,1,5,3,1,5,1,36.77
S00210,2,3,3,2,3,0,23.71
S00308,1,4,3,3,5,0,38.39
S00226,3,5,3,1,6,0,28.52
S00062,2,3,3,1,3,0,36.04
S00376,1,3,2,2,3,0,22.34
S00273,2,3,2,1,4,0,22.48
S00087,2,3,3,2,5,1,30.76
S00407,1,2,3,1,5,1,31.1
S00377,3,4,3,1,5,0,29.09
S00381,1,2,2,3,3,1,19
S00412,2,3,3,2,4,0,27.92
S00189,2,3,3,1,3,0,22.17
S00128,1,3,3,2,2,0,37.51
S00345,3,4,3,2,3,0,28.26
S00047,3,4,3,1,5,1,34
S00120,1,2,2,3,3,0,34.2
S00150,3,4,3,2,5,0,29.1
S00071,2,4,3,3,3,1,33.16
S00028,3,3,2,1,5,1,37.9
S00279,2,2,2,2,3,0,37.07
S00360,NA,NA,NA,2,0,1,28.95
S00012,1,2,2,1,3,0,36.59
S00217,3,5,3,1,6,1,35.08
S00211,2,3,3,2,5,0,27.98
S00280,3,5,6,1,5,1,32.69
S00303,1,3,5,1,3,0,33.75
S00168,2,3,2,2,4,1,25.24
S00199,NA,3,2,3,6,0,35.78
S00246,1,NA,3,3,4,0,19.06
S00125,1,1,1,2,2,0,28.38
S00043,2,4,2,2,5,0,26.17
S00287,1,3,3,1,6,0,39.79
S00038,2,4,2,3,5,0,29.15
S00013,3,4,3,3,6,1,33.29
S00366,2,4,3,2,4,1,32.08
S00059,1,NA,2,1,2,1,33.76
S00182,3,5,3,1,6,0,25.64
S00298,5,5,3,1,6,1,35.45
S00109,1,2,2,1,3,1,27.44
S00257,3,4,2,1,5,0,26.8
S00192,3,5,3,1,6,0,32.03
S00277,2,3,2,2,3,0,29.56
S00213,2,4,2,1,5,0,38.85
S00011,2,3,3,2,5,1,31.31
S00396,3,4,2,1,5,1,32.09
S00347,3,5,3,1,6,1,31.11
S00151,3,4,3,2,6,1,26.41
S00005,1,3,3,3,6,1,36.14
S00390,1,NA,2,1,6,1,30.97
S00379,3,4,3,2,5,1,28.74
S00314,3,4,2,1,5,1,35.97
S00235,2,3,3,1,3,0,30.87
S00073,1,2,2,2,4,0,27.6
S00326,2,4,3,1,3,0,36.31
S00259,3,4,4,3,6,1,33.23
S00254,3,5,3,1,6,1,27.63
S00164,2,4,3,2,3,0,21.81
S00019,3,5,3,1,6,0,30.26
S00278,1,3,3,2,2,0,35.68
S00253,1,3,3,3,6,0,31.24
S00310,1,5,3,2,4,1,25.69
S00129,5,5,3,1,6,1,35.88
S00195,3,5,4,1,6,1,29.84
S00315,3,5,3,1,6,0,31.97
S00338,3,5,3,2,6,1,26.45
S00358,1,5,4,1,6,0,37.92
S00305,3,3,3,1,6,1,25.84
S00065,1,5,5,3,6,0,31.91
S00304,3,4,3,2,2,0,26.18
S00003,1,2,3,2,5,0,35.51
S00359,3,4,3,1,5,1,26.97
S00010,2,4,3,1,5,0,33.89
