Probe 1 masked,cg04692870
S00160,0.575548
S00079,0.634059
S00238,0.563978
S00389,0.547337
S00030,0.603356
S00124,0.603091
S00317,0.573608
S00231,0.569627
S00186,0.664009
S00327,0.668488
S00140,0.586003
S00331,0.635645
S00256,0.575857
S00132,0.603218
S00058,0.401164
S00066,0.65324
S00386,0.570042
S00336,0.573326
S00392,0.610963
S00281,0.690031
S00042,0.64739
S00083,0.597265
S00023,0.573202
S00187,0.4843
S00155,0.558248
S00174,0.681424
S00029,0.680278
S00193,0.492909
S00284,0.448363
S00337,0.607335
S00204,0.645527
S00159,0.638476
S00232,0.611145
S00118,0.584176
S00039,0.649428
S00200,0.511202
S00183,0.469451
S00307,0.694396
S00094,0.490903
S00143,0.695006
S00363,0.632996
S00024,0.668061
S00239,0.61568
S00411,0.574791
S00312,0.507735
S00026,0.525489
S00362,0.531368
S00188,0.65058
S00367,0.656265
S00341,0.587084
S00339,0.63705
S00161,0.523893
S00252,0.469768
S00348,0.432902
S00294,0.585723
S00031,0.669481
S00405,0.575098
S00156,0.634032
S00102,0.626276
S00323,0.592087
S00374,0.645012
S00191,0.605467
S00243,0.568153
S00084,0.543312
S00371,0.449341
S00190,0.599582
S00049,0.633892
S00149,0.560744
S00249,0.56925
S00104,0.501719
S00077,0.63932
S00137,0.57012
S00353,0.480717
S00408,0.657418
S00402,0.578642
S00167,0.73132
S00319,0.522072
S00090,0.434635
S00086,0.645072
S00297,0.609519
S00027,0.736114
S00135,0.545632
S00015,0.508671
S00309,0.707373
S00332,0.607541
S00349,0.469647
S00111,0.525719
S00321,0.608663
S00070,0.616734
S00044,0.639391
S00002,0.545488
S00016,0.578251
S00142,0.607922
S00291,0.492608
S00311,0.60329
S00209,0.662319
S00001,0.604169
S00406,0.556738
S00409,0.576081
S00212,0.571649
S00320,0.581184
S00236,0.577387
S00328,0.521381
S00383,0.730366
S00375,0.709341
S00163,0.628946
S00350,0.729107
S00378,0.62974
S00248,0.54982
S00399,0.634554
S00224,0.604227
S00138,0.484089
S00316,0.68009
S00403,0.62543
S00009,0.601165
S00198,0.671989
S00063,0.611815
S00400,0.608542
S00395,0.636262
S00286,0.474246
S00203,0.669758
S00272,0.644577
S00354,0.424606
S00262,0.596601
S00398,0.518274
S00100,0.433004
S00052,0.594106
S00346,0.461529
S00179,0.572727
S00394,0.634718
S00080,0.60322
S00110,0.599143
S00074,0.547909
S00233,0.636343
S00176,0.566324
S00032,0.510279
S00121,0.533122
S00170,0.708802
S00106,0.729372
S00206,0.546096
S00351,0.562217
S00220,0.629645
S00014,0.76292
S00384,0.621672
S00171,0.572889
S00306,0.553334
S00344,0.629902
S00356,0.434224
S00033,0.578623
S00293,0.676832
S00266,0.530168
S00260,0.700871
S00324,0.688784
S00021,0.499238
S00117,0.520552
S00041,0.653795
S00313,0.588591
S00157,0.578126
S00296,0.594155
S00078,0.762421
S00234,0.618488
S00197,0.4696
S00113,0.654491
S00271,0.562369
S00329,0.468166
S00255,0.607881
S00382,0.580747
S00207,0.550919
S00242,0.5688
S00388,0.635405
S00361,0.551644
S00343,0.5171
S00245,0.609179
S00342,0.572213
S00165,0.638153
S00413,0.540154
S00089,0.680092
S00072,0.555408
S00068,0.646048
S00414,0.40911
S00385,0.563872
S00093,0.616129
