Probe 3 masked,cg09322432
S00005,0.90069
S00118,0.883463
S00102,0.860025
S00413,0.902009
S00132,0.917119
S00007,0.889393
S00089,0.915199
S00104,0.923376
S00405,0.891399
S00339,0.892946
S00248,0.909741
S00027,0.933011
S00187,0.847715
S00166,0.915597
S00045,0.877577
S00315,0.843229
S00239,0.882376
S00331,0.922991
S00120,0.884779
S00155,0.912635
S00030,0.929035
S00172,0.910883
S00353,0.892419
S00128,0.888946
S00290,0.893906
S00363,0.929932
S00356,0.892566
S00197,0.887056
S00123,0.903527
S00186,0.924204
S00046,0.846381
S00334,0.940605
S00261,0.889033
S00238,0.885603
S00229,0.905937
S00048,0.87626
S00055,0.879843
S00006,0.898586
S00080,0.912114
S00107,0.878481
S00230,0.862352
S00096,0.920028
S00050,0.919897
S00316,0.901455
S00009,0.911125
S00314,0.905505
S00081,0.892692
S00306,0.901623
S00366,0.909946
S00372,0.928451
S00131,0.864341
S00374,0.92042
S00393,0.903179
S00263,0.857733
S00052,0.883022
S00185,0.891175
S00116,0.92204
S00404,0.879934
S00293,0.830678
S00206,0.905471
S00297,0.912052
S00002,0.923547
S00280,0.886234
S00246,0.878921
S00150,0.871074
S00143,0.92176
S00344,0.91026
S00180,0.901202
S00060,0.913098
S00073,0.916477
S00200,0.877623
S00341,0.896943
S00101,0.89935
S00203,0.863759
S00282,0.929057
S00144,0.906483
S00033,0.908568
S00202,0.888052
S00289,0.894914
S00145,0.899893
S00201,0.890838
S00090,0.854506
S00136,0.863132
S00378,0.925091
S00285,0.902985
S00189,0.883333
S00028,0.919556
S00175,0.839637
S00171,0.917763
S00272,0.889934
S00152,0.896174
S00389,0.908854
S00042,0.919568
S00066,0.925126
S00217,0.905322
S00149,0.912837
S00215,0.908296
S00020,0.899251
S00167,0.897366
S00333,0.901503
S00211,0.90508
S00024,0.911322
S00125,0.849872
S00234,0.878445
S00051,0.923252
S00214,0.897406
S00059,0.921959
S00383,0.912849
S00032,0.88243
S00302,0.867579
S00094,0.911204
S00067,0.901188
S00343,0.885859
S00127,0.922624
S00063,0.924787
S00205,0.877316
S00114,0.909698
S00301,0.915084
S00003,0.838317
S00364,0.911363
S00183,0.884038
S00026,0.878889
S00369,0.907348
S00029,0.912779
S00072,0.92643
S00319,0.905685
S00092,0.891133
S00336,0.917176
S00014,0.863861
S00292,0.888522
S00237,0.897395
S00256,0.914175
S00407,0.907233
S00387,0.911538
S00084,0.919614
S00117,0.917025
S00165,0.910853
S00398,0.889864
S00318,0.850675
S00397,0.907994
S00265,0.912899
S00146,0.871509
S00240,0.928048
S00359,0.916746
S00078,0.845339
S00283,0.911984
S00231,0.915614
S00384,0.907128
S00269,0.877409
S00147,0.852332
S00266,0.921013
S00141,0.78026
S00054,0.898998
S00077,0.907692
S00325,0.886669
S00130,0.907676
S00083,0.905496
S00320,0.905027
