probe 6 masked,cg17498424
S00160,0.902773
S00079,0.893688
S00238,0.895588
S00389,0.909495
S00030,0.899999
S00124,0.91087
S00317,0.887402
S00231,0.917878
S00186,0.892713
S00327,0.877887
S00140,0.908509
S00331,0.922295
S00256,0.903974
S00132,0.886594
S00058,0.911033
S00066,0.865142
S00386,0.910006
S00336,0.905079
S00392,0.870518
S00281,0.850909
S00042,0.918925
S00083,0.899097
S00023,0.90832
S00187,0.871106
S00155,0.90622
S00174,0.902671
S00029,0.893263
S00193,0.900446
S00284,0.899754
S00337,0.893669
S00204,0.868586
S00159,0.893686
S00232,0.904603
S00118,0.897757
S00039,0.885538
S00200,0.871699
S00183,0.892034
S00307,0.909159
S00094,0.89445
S00143,0.902554
S00363,0.914485
S00024,0.890046
S00239,0.893626
S00411,0.868106
S00312,0.911266
S00026,0.90838
S00362,0.880717
S00188,0.906726
S00367,0.909622
S00341,0.926569
S00339,0.890918
S00161,0.896886
S00252,0.86067
S00348,0.895279
S00294,0.909774
S00031,0.90923
S00405,0.888865
S00156,0.923577
S00102,0.879503
S00323,0.914874
S00374,0.90428
S00191,0.918151
S00243,0.899923
S00084,0.912035
S00371,0.912194
S00190,0.896238
S00049,0.913119
S00149,0.894581
S00249,0.891817
S00104,0.924662
S00077,0.899426
S00137,0.891277
S00353,0.902063
S00408,0.889833
S00402,0.883165
S00167,0.913184
S00319,0.887814
S00090,0.876153
S00086,0.907991
S00297,0.889084
S00027,0.902831
S00135,0.914659
S00015,0.912237
S00309,0.879078
S00332,0.884002
S00349,0.901753
S00111,0.880659
S00321,0.899149
S00070,0.894913
S00044,0.910299
S00002,0.888138
S00016,0.907629
S00142,0.882299
S00291,0.902382
S00311,0.911882
S00209,0.920529
S00001,0.90799
S00406,0.892298
S00409,0.880977
S00212,0.885493
S00320,0.894771
S00236,0.885337
S00328,0.883849
S00383,0.899766
S00375,0.823538
S00163,0.898683
S00350,0.912607
S00378,0.896656
S00248,0.892202
S00399,0.910173
S00224,0.899066
S00138,0.876117
S00316,0.899208
S00403,0.920414
S00009,0.904208
S00198,0.872769
S00063,0.908889
S00400,0.885703
S00395,0.901634
S00286,0.89433
S00203,0.88107
S00272,0.891451
S00354,0.875876
S00262,0.910101
S00398,0.89482
S00100,0.780807
S00052,0.905379
S00346,0.854622
S00179,0.893622
S00394,0.898651
S00080,0.909914
S00110,0.899001
S00074,0.909429
S00233,0.893217
S00176,0.909035
S00032,0.907512
S00121,0.891694
S00170,0.904434
S00106,0.856844
S00206,0.906066
S00351,0.895282
S00220,0.87715
S00014,0.861315
S00384,0.897351
S00171,0.900177
S00306,0.904249
S00344,0.873754
S00356,0.874993
S00033,0.89131
S00293,0.837835
S00266,0.908749
S00260,0.910568
S00324,0.914214
S00021,0.832442
S00117,0.906538
S00041,0.908721
S00313,0.864882
S00157,0.913536
S00296,0.861543
S00078,0.880565
S00234,0.87133
S00197,0.908359
S00113,0.912388
S00271,0.914099
S00329,0.871974
S00255,0.906561
S00382,0.858189
S00207,0.898369
S00242,0.885147
S00388,0.905757
S00361,0.888504
S00343,0.885983
S00245,0.916557
S00342,0.901452
S00165,0.891223
S00413,0.920923
S00089,0.892572
S00072,0.921861
S00068,0.891718
S00414,0.903061
S00385,0.893643
S00105,0.898031
S00228,0.915765
S00196,0.905384
S00201,0.892894
S00091,0.865857
S00208,0.90901
S00184,0.892743
S00270,0.914303
S00229,0.886233
S00126,0.890223
S00185,0.904117
S00050,0.903298
S00240,0.924435
S00268,0.890793
S00301,0.920186
S00387,0.896452
S00173,0.899111
S00166,0.918606
S00265,0.898236
S00292,0.914705
S00290,0.883862
S00210,0.892487
S00308,0.914555
S00226,0.900074
S00062,0.850964
S00376,0.911964
S00273,0.91918
S00087,0.909563
S00407,0.859515
S00377,0.899643
S00381,0.867993
