probe 7 masked,cg20046859
S00005,0.87537
S00118,0.913034
S00102,0.87788
S00413,0.850233
S00132,0.889852
S00007,0.874076
S00089,0.872222
S00104,0.84349
S00405,0.906408
S00339,0.865295
S00248,0.846521
S00027,0.885279
S00187,0.893489
S00166,0.865782
S00045,0.859179
S00315,0.90719
S00239,0.895015
S00331,0.869291
S00120,0.884805
S00155,0.873208
S00030,0.851218
S00172,0.847837
S00353,0.876407
S00128,0.872023
S00290,0.889433
S00363,0.853166
S00356,0.897779
S00197,0.890869
S00123,0.87468
S00186,0.878647
S00046,0.884772
S00334,0.827652
S00261,0.888168
S00238,0.882643
S00229,0.87038
S00048,0.884937
S00055,0.907168
S00006,0.89329
S00080,0.859456
S00107,0.893084
S00230,0.877582
S00096,0.900279
S00050,0.87487
S00316,0.853404
S00009,0.850448
S00314,0.891956
S00081,0.902751
S00306,0.873413
S00366,0.863774
S00372,0.896424
S00131,0.907371
S00374,0.866714
S00393,0.867656
S00263,0.909247
S00052,0.869034
S00185,0.886011
S00116,0.858138
S00404,0.908273
S00293,0.913553
S00206,0.860497
S00297,0.863366
S00002,0.869692
S00280,0.885386
S00246,0.897641
S00150,0.889228
S00143,0.883719
S00344,0.886606
S00180,0.881232
S00060,0.861618
S00073,0.856653
S00200,0.873029
S00341,0.842484
S00101,0.878698
S00203,0.91126
S00282,0.849582
S00144,0.879213
S00033,0.870349
S00202,0.899686
S00289,0.878915
S00145,0.877495
S00201,0.878041
S00090,0.899276
S00136,0.870405
S00378,0.866442
S00285,0.892324
S00189,0.852029
S00028,0.862821
S00175,0.892124
S00171,0.889022
S00272,0.875564
S00152,0.873254
S00389,0.866662
S00042,0.889742
S00066,0.87007
S00217,0.854735
S00149,0.856372
S00215,0.891217
S00020,0.873912
S00167,0.877645
S00333,0.887219
S00211,0.882428
S00024,0.903884
S00125,0.862135
S00234,0.900269
S00051,0.881408
S00214,0.897386
S00059,0.858042
S00383,0.882815
S00032,0.87572
S00302,0.902279
S00094,0.846637
S00067,0.877324
S00343,0.872764
S00127,0.885567
S00063,0.849003
S00205,0.880389
S00114,0.88804
S00301,0.891692
S00003,0.898932
S00364,0.832479
S00183,0.88211
S00026,0.876933
S00369,0.870516
S00029,0.895744
S00072,0.881432
S00319,0.893877
S00092,0.877615
S00336,0.865555
S00014,0.90155
S00292,0.90729
S00237,0.888898
S00256,0.880795
S00407,0.867958
S00387,0.860287
S00084,0.870237
S00117,0.882154
S00165,0.866703
S00398,0.883946
S00318,0.900749
S00397,0.855293
S00265,0.885212
S00146,0.888617
S00240,0.860283
S00359,0.867046
S00078,0.911904
S00283,0.892005
S00231,0.859354
S00384,0.858252
S00269,0.867542
S00147,0.906442
S00266,0.884124
S00141,0.923179
S00054,0.890329
S00077,0.8668
S00325,0.888226
S00130,0.858399
S00083,0.861095
S00320,0.885323
S00154,0.868108
S00245,0.907437
S00299,0.848114
S00194,0.880508
S00179,0.888638
S00349,0.902607
S00244,0.857946
S00370,0.862831
S00358,0.893847
S00351,0.86865
S00085,0.861778
S00395,0.835033
S00195,0.872185
S00335,0.885652
S00164,0.890076
S00309,0.883941
S00399,0.870321
S00210,0.891949
S00121,0.892333
S00153,0.872506
S00057,0.84101
S00226,0.876208
S00232,0.893991
S00212,0.873909
S00163,0.892992
S00134,0.882874
S00207,0.878555
S00037,0.872814
S00004,0.894315
S00348,0.884309
S00110,0.851942
S00360,0.860408
S00273,0.857967
S00276,0.856024
S00056,0.890125
S00287,0.889367
S00242,0.910858
S00352,0.879913
S00362,0.883017
S00208,0.860903
S00227,0.904632
S00361,0.886237
S00191,0.838449
S00204,0.869786
S00058,0.905609
S00209,0.891924
S00213,0.878142
S00262,0.901572
S00298,0.867909
S00277,0.883882
S00196,0.880007
S00158,0.879995
S00342,0.89377
S00012,0.893825
S00286,0.847859
S00010,0.904334
S00192,0.889697
S00281,0.871056
S00402,0.89783
S00133,0.848667
S00182,0.871547
S00053,0.887865
S00322,0.862771
S00254,0.852195
S00142,0.878931
S00305,0.869552
S00157,0.867057
S00233,0.873992
S00169,0.895603
S00112,0.899051
S00307,0.900644
S00375,0.890875
S00408,0.836362
S00264,0.875397
S00040,0.882436
S00199,0.868168
S00069,0.868913
S00181,0.900815
S00095,0.913621
S00064,0.888217
S00224,0.894446
S00278,0.870938
S00355,0.89131
S00105,0.871784
S00223,0.895334
S00379,0.857927
S00414,0.876404
S00079,0.855227
S00253,0.914807
S00122,0.856653
S00019,0.872456
S00151,0.871926
S00332,0.871737
S00403,0.900963
S00288,0.871971
S00135,0.866103
S00396,0.88682
S00106,0.910307
S00382,0.888617
S00126,0.876712
S00241,0.882303
S00168,0.868919
S00347,0.884768
S00271,0.877321
S00326,0.876641
S00380,0.872541
S00139,0.860736
S00308,0.877995
S00250,0.922182
S00184,0.864674
S00190,0.889701
S00108,0.874042
S00022,0.890898
S00388,0.862705
S00258,0.872925
S00243,0.865028
S00100,0.923996
S00391,0.873823
S00071,0.898842
S00311,0.88665
S00357,0.843211
S00327,0.868778
S00031,0.903274
S00412,0.87119
S00247,0.875197
S00394,0.859705
S00008,0.859434
S00065,0.871356
S00221,0.866637
S00074,0.895166
S00129,0.889873
S00159,0.898711
S00173,0.893768
S00329,0.911013
S00236,0.855397
S00174,0.884923
S00109,0.890713
S00049,0.89643
S00178,0.890135
S00016,0.878185
S00291,0.843521
S00303,0.880846
S00328,0.839439
S00034,0.890844
S00087,0.873613
S00381,0.913928
S00076,0.89894
S00267,0.874391
S00368,0.876933
S00260,0.86842
S00070,0.846726
S00376,0.908599
S00124,0.892844
S00313,0.882898
S00176,0.881321
S00249,0.906621
S00235,0.864171
S00021,0.899696
S00324,0.879623
S00023,0.855892
S00075,0.88304
S00350,0.895103
S00345,0.873427
S00330,0.877609
S00001,0.898371
S00304,0.866626
S00354,0.87171
S00259,0.862289
S00257,0.900376
S00321,0.888721
S00294,0.883671
S00068,0.890771
S00017,0.883396
S00340,0.881312
S00160,0.905598
S00103,0.879948
S00062,0.859574
S00219,0.895206
S00036,0.886565
S00371,0.852639
S00162,0.893535
S00385,0.890666
S00193,0.875433
S00296,0.854761
S00015,0.873178
S00367,0.897192
S00310,0.875738
S00312,0.901054
S00011,0.880314
S00225,0.874778
S00161,0.906365
S00222,0.858554
S00188,0.888567
S00137,0.853986
S00337,0.873559
S00295,0.894848
S00323,0.857126
S00177,0.872785
S00252,0.912791
S00140,0.893999
S00300,0.851859
S00115,0.872292
S00099,0.888713
S00113,0.899004
S00138,0.902573
S00410,0.879618
S00274,0.87997
S00365,0.874918
S00400,0.869999
S00091,0.854407
S00390,0.888672
S00338,0.890998
S00279,0.868213
S00039,0.862225
S00401,0.899159
S00268,0.849389
S00216,0.91172
S00148,0.887158
S00218,0.869972
S00409,0.887452
S00392,0.858184
S00025,0.890941
S00317,0.845317
S00275,0.905103
S00061,0.901598
S00041,0.876648
S00088,0.874855
S00255,0.865458
S00013,0.864214
S00346,0.904922
S00082,0.893125
S00044,0.864586
S00373,0.895597
S00038,0.866819
S00411,0.8769
S00198,0.840216
S00018,0.911091
S00111,0.883974
S00097,0.890224
S00270,0.885839
S00098,0.894133
S00086,0.864872
S00220,0.881855
S00228,0.884544
S00047,0.87832
S00043,0.841642
S00119,0.878123
S00377,0.867573
S00035,0.915458
S00156,0.886929
S00093,0.884085
S00386,0.864393
S00284,0.850658
S00406,0.903193
S00170,0.849096
S00251,0.882104
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
