Masked IDs,PC1,PC2,PC3,PC4,PC5
S00160,0.0299831,-0.028872,-0.00616679,-0.00266152,0.00343485
S00238,0.0269209,-0.0227155,0.00579159,0.00747784,0.000614111
S00389,0.0269588,-0.033863,-0.00147252,0.00422731,0.00324537
S00030,0.024016,0.00645197,-0.00595993,-0.00130548,0.0020713
S00124,0.0305205,-0.029776,0.00117846,0.00215745,0.00531214
S00327,0.0258341,-0.0306626,0.0120002,-0.0120677,0.0019678
S00066,0.0282233,-0.026292,0.000196452,0.000722547,-0.00760378
S00336,0.0292125,-0.0273961,-0.00535642,0.00321129,0.0039464
S00392,0.0279334,-0.0251526,-0.00895565,0.00530947,-0.00285334
S00281,0.0288235,-0.0335629,-0.00376341,-0.00203856,-0.00389503
S00023,0.0282548,-0.0233553,-0.00415493,-0.00426811,0.00694319
S00155,0.0285127,-0.023596,0.000404728,-0.0014889,-0.00233399
S00174,0.0291189,-0.0346538,-0.00343718,0.00462977,-0.00875545
S00029,0.027914,-0.0187442,-0.000937954,-0.000174375,0.00658609
S00193,0.026856,-0.053416,0.0152549,-0.0157073,-0.00572482
S00284,0.0312478,-0.0276012,0.00173882,0.00346245,-0.00472486
S00204,0.0285235,-0.0287468,-0.00268208,-0.00197956,-0.00125149
S00368,0.0269963,-0.00982692,-0.00189683,-0.0111167,-0.000932499
S00232,0.0307602,-0.0373738,-0.00688373,-0.00322152,-0.0016077
S00200,0.0286152,-0.0301763,-0.00655758,-0.00363067,0.00354532
S00183,0.0287294,-0.0438917,0.00629406,-0.00184086,-0.00159444
S00307,0.0304134,-0.0290496,-0.00364878,-0.00513207,0.00361321
S00094,0.0305671,-0.0308734,0.00197862,0.00277642,-0.000990003
S00143,0.0320571,-0.0342088,-0.00330878,-0.0055326,0.014583
S00363,0.0278677,-0.0294887,0.00421039,-0.00893735,-0.00534651
S00024,0.0289053,-0.0419913,-0.00438279,-0.00441382,0.00106366
S00312,0.0296952,-0.0235712,-0.0055736,0.000422579,0.00625574
S00026,0.0297754,-0.0252954,-0.00535071,-0.00562392,-0.00101399
S00362,0.0276887,-0.0194081,0.00123128,0.00679688,-0.00425969
S00188,0.0265725,-0.0438748,0.00147072,-0.00510663,-0.000352168
S00252,0.0272285,-0.0183126,-0.00627031,-0.00325562,0.00486554
S00294,0.0293676,-0.0219304,0.00819121,-0.00539681,0.0118065
S00031,0.0250661,-0.053341,0.00214102,-0.00262797,0.00714371
S00156,0.0297676,-0.0331132,-0.00189431,-0.00572775,-0.00279933
S00102,0.0290482,-0.0353624,0.000108993,-0.00517839,0.0133669
S00191,0.0302325,-0.02971,-0.0059994,-0.00323358,-0.00914406
S00243,0.0282145,-0.0319251,-0.00560523,0.00598087,-0.00559194
S00084,0.0289708,-0.0318354,0.000557906,-0.00186328,-0.00610085
S00190,0.0291097,-0.0332707,-0.00400808,-0.00349299,0.00358776
S00049,0.0261177,-0.0434544,-0.00853644,-0.00646098,0.00495639
S00104,0.0270397,-0.0221344,-0.00540655,-0.00373365,0.000614255
S00077,0.0264815,-0.0251329,-0.00144428,-0.00174925,0.0037944
